university_code,university_name,found_url,status,num_records,note
VHH,Trường Đại học Văn hóa Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-ha-noi-VHH.html,success,61,Đã trích xuất điểm chuẩn năm 2025 theo phương thức Điểm thi THPT và Xét tuyển kết hợp. Phương thức xét học bạ có dữ liệu nhưng không tách tổ hợp chi tiết trong bảng nên không đưa vào danh sách.
HIU,Trường Đại học Quốc tế Hồng Bàng,https://fptshop.com.vn/tin-tuc/danh-gia/diem-chuan-dai-hoc-quoc-te-hong-bang-2025-185454,success,40,Dữ liệu được trích xuất từ bảng điểm chuẩn năm 2025 theo phương thức xét kết quả thi THPT.
SKD,Trường Đại học Sân khấu - Điện ảnh Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-san-khau-dien-anh-ha-noi-SKD.html,success,27,Dữ liệu điểm chuẩn năm 2025 của Trường Đại học Sân khấu - Điện ảnh Hà Nội theo phương thức xét tuyển thi riêng (S00) đã được trích xuất thành công.
VKA,Học viện Ngoại giao,https://thi.tuyensinh247.com/hoc-vien-ngoai-giao-cong-bo-diem-chuan-nam-2025-c24a86988.html,partial,3,"Trang web chỉ liệt kê điểm chuẩn của một vài ngành tiêu biểu, không có bảng tổng hợp đầy đủ tất cả các ngành."
DQL,Trường Đại học Luật Thành phố Hồ Chí Minh,https://dantri.com.vn/giao-duc/diem-chuan-truong-dai-hoc-luat-tphcm-cao-nhat-o-to-hop-hiem-20250822151519029.htm,partial,2,"Trang báo chỉ liệt kê điểm chuẩn của một vài tổ hợp thuộc ngành Luật thương mại quốc tế năm 2025, không có bảng đầy đủ cho tất cả các ngành."
HHA,Trường Đại học Hàng hải Việt Nam,https://giaoduc.net.vn/truong-dai-hoc-hang-hai-viet-nam-cong-bo-diem-chuan-cao-nhat-285-diem-post253938.gd,partial,6,"Trang chỉ liệt kê một số ngành tiêu biểu, không có bảng đầy đủ tất cả 50 ngành. Các ngành Tiếng Anh thương mại và Ngôn ngữ Anh nhân hệ số 2 môn tiếng Anh (thang 40)."
NHA,Học viện Âm nhạc Quốc gia Việt Nam,https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-am-nhac-quoc-gia-viet-nam-NVH.html,success,8,Dữ liệu điểm chuẩn năm 2025 đã được trích xuất từ nội dung trang cung cấp.
MSH,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh,http://www.hcmufa.edu.vn/,needs_deeper_crawl,0,"Trang web hiện tại chỉ hiển thị thông tin tuyển sinh năm 2026 và các thông báo cũ, chưa có bảng điểm chuẩn năm 2025. Cần kiểm tra mục Tuyển sinh hoặc Tin tức để cập nhật khi dữ liệu được công bố."
DQN,Trường Đại học Quy Nhơn,https://xaydungchinhsach.chinhphu.vn/diem-chuan-truong-dai-hoc-quy-nhon-2025-1192508231044467.htm,partial,6,"Trang web chỉ cung cấp điểm chuẩn của một số ngành tiêu biểu, không liệt kê đầy đủ 52 ngành đào tạo."
DCN,Trường Đại học Công nghiệp Hà Nội,https://giaoduc.net.vn/truong-dh-cong-nghiep-ha-noi-cong-bo-diem-chuan-trung-tuyen-nam-2025-cao-nhat-2627-diem-post253927.gd,success,62,Điểm chuẩn năm 2025 của Trường Đại học Công nghiệp Hà Nội đã được trích xuất đầy đủ từ bảng dữ liệu trong bài viết.
CTS,Trường Đại học Cần Thơ,https://vietnamnet.vn/diem-chuan-dai-hoc-can-tho-cao-nhat-28-61-2434985.html,partial,16,"Trang báo chỉ liệt kê một số ngành tiêu biểu, không có bảng đầy đủ. Thí sinh cần tra cứu tại trang web chính thức của trường."
BVH,Học viện Công nghệ Bưu chính Viễn thông,https://thisinh.thithptquocgia.edu.vn/,needs_deeper_crawl,0,Hiện tại chưa có dữ liệu điểm chuẩn năm 2025 vì kỳ thi tốt nghiệp THPT 2025 chưa diễn ra. Link cung cấp trong nội dung không liên quan đến trang tuyển sinh của Học viện Công nghệ Bưu chính Viễn thông.
