university_code,major_name,inferred_method,rule_used
DHP,Logistics và vận tải đa phương thức (CLC),diem_thi_thpt,6
DHP,Công tác xã hội,diem_thi_thpt,6
DHP,Sư phạm Tiếng Anh,diem_thi_thpt,6
DHP,Sư phạm Ngữ văn,diem_thi_thpt,6
DHP,Ngôn ngữ Trung Quốc,diem_thi_thpt,6
DHP,Sư phạm Toán học,diem_thi_thpt,6
DHP,Giáo dục Thể chất,diem_thi_thpt,6
DHP,Ngôn ngữ Anh,diem_thi_thpt,6
DNT,Ngôn ngữ Anh,diem_thi_thpt,6
DNT,Ngôn ngữ Trung Quốc,diem_thi_thpt,6
DNT,Ngôn ngữ Nhật,diem_thi_thpt,6
DNT,Ngôn ngữ Hàn Quốc,diem_thi_thpt,6
DNT,Đông phương học,diem_thi_thpt,6
DNT,Công nghệ thông tin,diem_thi_thpt,6
DNT,Trí tuệ nhân tạo,diem_thi_thpt,6
DNT,Thương mại điện tử,diem_thi_thpt,6
DNT,Kỹ thuật phần mềm,diem_thi_thpt,6
DNT,Tài chính - Ngân hàng,diem_thi_thpt,6
DNT,Kế toán,diem_thi_thpt,6
DNT,Kiểm toán,diem_thi_thpt,6
DNT,Luật,diem_thi_thpt,6
DNT,Luật kinh tế,diem_thi_thpt,6
DNT,Quản trị kinh doanh,diem_thi_thpt,6
DNT,Kinh doanh quốc tế,diem_thi_thpt,6
DNT,Marketing,diem_thi_thpt,6
DNT,Logistics và quản lý chuỗi cung ứng,diem_thi_thpt,6
DNT,Quản trị dịch vụ du lịch và lữ hành,diem_thi_thpt,6
DNT,Quản trị khách sạn,diem_thi_thpt,6
DNT,Quan hệ quốc tế,diem_thi_thpt,6
DNT,Quan hệ công chúng,diem_thi_thpt,6
DNT,Truyền thông đa phương tiện,diem_thi_thpt,6
DNV,KIẾN TRÚC,diem_thi_thpt,5
DNV,ĐIÊU KHẮC,diem_thi_thpt,6
DNV,MỸ THUẬT ĐÔ THỊ,diem_thi_thpt,6
DNV,THIẾT KẾ NỘI THẤT,diem_thi_thpt,6
DNV,THIẾT KẾ ĐỒ HỌA,diem_thi_thpt,6
DNV,THIẾT KẾ THỜI TRANG,diem_thi_thpt,6
DNV,NGHỆ THUẬT SỐ,diem_thi_thpt,6
DNV,XÂY DỰNG DÂN DỤNG VÀ CÔNG NGHIỆP,diem_thi_thpt,6
DNV,XÂY DỰNG CÔNG TRÌNH NGẦM ĐÔ THỊ,diem_thi_thpt,6
DNV,QUẢN LÝ DỰ ÁN XÂY DỰNG,diem_thi_thpt,6
DNV,CÔNG NGHỆ KỸ THUẬT VẬT LIỆU XÂY DỰNG,diem_thi_thpt,6
THU,Luật,diem_thi_thpt,6
DPT,Luật kinh tế,diem_thi_thpt,5
DPT,Ngôn ngữ Anh,diem_thi_thpt,5
DPT,Kỹ thuật xây dựng,diem_thi_thpt,5
DPT,Quản trị kinh doanh,diem_thi_thpt,5
DPT,Tài chính – Ngân hàng,diem_thi_thpt,5
DPT,Kế toán,diem_thi_thpt,5
DPT,Kỹ thuật cơ khí,diem_thi_thpt,5
DPT,Kỹ thuật ô tô,diem_thi_thpt,5
DPT,Kỹ thuật xét nghiệm y học,diem_thi_thpt,5
DPT,"Công nghệ kỹ thuật điện, điện tử",diem_thi_thpt,5
THU,Ngôn ngữ Anh,diem_thi_thpt,6
DQC,Giáo dục Mầm non,diem_thi_thpt,5
DQC,Giáo dục Tiểu học,diem_thi_thpt,5
DQC,Giáo dục Thể chất,diem_thi_thpt,5
DQC,Sư phạm Toán học,diem_thi_thpt,5
DQC,Sư phạm Ngữ văn,diem_thi_thpt,5
DQC,Sư phạm Khoa học tự nhiên,diem_thi_thpt,5
DQC,Sư phạm Lịch sử – Địa lý,diem_thi_thpt,5
DQC,Sư phạm Tiếng Anh,diem_thi_thpt,5
DQC,Sư phạm Tin học,diem_thi_thpt,5
DQC,Ngôn ngữ Anh,diem_thi_thpt,5
DQC,Ngôn ngữ Trung Quốc,diem_thi_thpt,5
DQC,Kế toán,diem_thi_thpt,5
DQC,Quản trị kinh doanh,diem_thi_thpt,5
DQC,Công nghệ thông tin,diem_thi_thpt,5
DQC,Nông nghiệp,diem_thi_thpt,5
DQC,Quản trị dịch vụ du lịch và lữ hành,diem_thi_thpt,5
DQC,Quản lý Tài nguyên và Môi trường,diem_thi_thpt,5
DQL,Ngôn ngữ Anh,diem_thi_thpt,5
DQL,Luật,diem_thi_thpt,5
DQL,Luật thương mại quốc tế,diem_thi_thpt,5
DQL,Quản trị - Luật,diem_thi_thpt,5
DQL,Quản trị kinh doanh,diem_thi_thpt,5
DQL,Kinh doanh quốc tế,diem_thi_thpt,5
DQL,Tài chính - Ngân hàng,diem_thi_thpt,5
DQL,Kinh tế số,diem_thi_thpt,5
DQL,Thương mại điện tử,diem_thi_thpt,5
DQL,Công nghệ tài chính,diem_thi_thpt,5
DQL,Ngôn ngữ Trung Quốc,diem_thi_thpt,5
DTC,Toán ứng dụng,diem_thi_thpt,6
DTC,Thương mại điện tử,diem_thi_thpt,6
DTC,Luật,diem_thi_thpt,6
DTC,Luật Quốc tế,diem_thi_thpt,6
DTH,Khoa học máy tính,diem_thi_thpt,6
DTH,Hệ thống thông tin,diem_thi_thpt,6
DTH,Mạng máy tính và truyền thông dữ liệu,diem_thi_thpt,6
DTH,Công nghệ thông tin,diem_thi_thpt,6
DTH,Trí tuệ nhân tạo,diem_thi_thpt,6
DTH,Kế toán,diem_thi_thpt,6
DTH,Tài chính ngân hàng,diem_thi_thpt,6
DTH,Quản trị kinh doanh,diem_thi_thpt,6
DTH,Marketing,diem_thi_thpt,6
DTH,Logistics và Quản lý chuỗi cung ứng,diem_thi_thpt,6
DTH,Luật kinh tế,diem_thi_thpt,6
DTH,Kinh tế quốc tế,diem_thi_thpt,6
DTH,Thương mại điện tử,diem_thi_thpt,6
DTH,Điều dưỡng,diem_thi_thpt,6
DTH,Ngôn ngữ Anh,diem_thi_thpt,6
DTH,Ngôn ngữ Trung Quốc,diem_thi_thpt,6
DTH,Ngôn ngữ Nhật,diem_thi_thpt,6
DTH,Ngôn ngữ Hàn Quốc,diem_thi_thpt,6
DTH,Việt Nam học,diem_thi_thpt,6
DTH,Quản trị và Du lịch - Lữ hành,diem_thi_thpt,6
DTH,Quản trị khách sạn,diem_thi_thpt,6
DTH,Truyền thông đa phương tiện,diem_thi_thpt,6
DTH,Thiết kế đồ hoạ,diem_thi_thpt,6
DTH,Thanh nhạc,diem_thi_thpt,6
FPT,Công nghệ thông tin,diem_thi_thpt,6
FPT,Kỹ thuật phần mềm,diem_thi_thpt,6
FPT,Trí tuệ nhân tạo,diem_thi_thpt,6
FPT,Khoa học dữ liệu ứng dụng,diem_thi_thpt,6
FPT,An toàn thông tin,diem_thi_thpt,6
FPT,Vi mạch bán dẫn,diem_thi_thpt,6
FPT,Công nghệ ô tô số,diem_thi_thpt,6
FPT,Hệ thống thông tin,diem_thi_thpt,6
FPT,Thiết kế đồ họa và mỹ thuật số,diem_thi_thpt,6
FPT,Truyền thông đa phương tiện,diem_thi_thpt,6
FPT,Quan hệ công chúng,diem_thi_thpt,6
FPT,Truyền thông Marketing tích hợp,diem_thi_thpt,6
FPT,Truyền thông thương hiệu,diem_thi_thpt,6
FPT,Ngôn ngữ Anh,diem_thi_thpt,6
FPT,Tiếng Anh thương mại,diem_thi_thpt,6
FPT,Ngôn ngữ Hàn Quốc,diem_thi_thpt,6
FPT,Tiếng Hàn thương mại,diem_thi_thpt,6
FPT,Ngôn ngữ Trung Quốc,diem_thi_thpt,6
FPT,Tiếng Trung thương mại,diem_thi_thpt,6
FPT,Luật,diem_thi_thpt,6
FPT,Luật kinh tế,diem_thi_thpt,6
FPT,Marketing số,diem_thi_thpt,6
FPT,Kinh doanh quốc tế,diem_thi_thpt,6
FPT,Thương mại điện tử,diem_thi_thpt,6
FPT,Quản trị kinh doanh,diem_thi_thpt,6
FPT,Quản trị giải trí và sự kiện,diem_thi_thpt,6
FPT,Quản trị trải nghiệm khách hàng,diem_thi_thpt,6
FPT,Quản trị thu mua,diem_thi_thpt,6
FPT,Quản trị khách sạn,diem_thi_thpt,6
FPT,Quản trị Dịch vụ Du lịch và Lữ hành,diem_thi_thpt,6
FPT,Phân tích kinh doanh (Business Analytics),diem_thi_thpt,6
FPT,Logistics và quản lý chuỗi cung ứng toàn cầu,diem_thi_thpt,6
FPT,Công nghệ tài chính,diem_thi_thpt,6
FPT,Tài chính doanh nghiệp,diem_thi_thpt,6
FPT,Tài chính thông minh,diem_thi_thpt,6
FPT,Ngân hàng số - Tài chính,diem_thi_thpt,6
FPT,Trí tuệ nhân tạo và Khoa học dữ liệu,diem_thi_thpt,6
FPT,An ninh mạng và an toàn số,diem_thi_thpt,6
HIU,Y khoa,diem_thi_thpt,5
HIU,Y khoa (Tiếng Anh),diem_thi_thpt,6
HIU,Y học dự phòng,diem_thi_thpt,6
HIU,Răng - Hàm - Mặt,diem_thi_thpt,6
HIU,Răng - Hàm - Mặt (Tiếng Anh),diem_thi_thpt,6
HIU,Y học cổ truyền,diem_thi_thpt,6
HIU,Dược học,diem_thi_thpt,5
HIU,Điều dưỡng,diem_thi_thpt,5
HIU,Kỹ thuật y sinh,diem_thi_thpt,5
HIU,Quản trị kinh doanh,diem_thi_thpt,5
HIU,Luật kinh tế,diem_thi_thpt,5
HIU,Ngôn ngữ Anh,diem_thi_thpt,5
HIU,Truyền thông đa phương tiện,diem_thi_thpt,5
HIU,Công nghệ thông tin,diem_thi_thpt,5
HIU,Kiến trúc,diem_thi_thpt,5
LDA,Ngôn ngữ Anh,diem_thi_thpt,5
LDA,Kinh tế lao động,diem_thi_thpt,5
LDA,Tâm lý học,diem_thi_thpt,5
LDA,Quản trị kinh doanh,diem_thi_thpt,5
LDA,Marketing,diem_thi_thpt,5
LDA,Logistics và quản trị chuỗi cung ứng,diem_thi_thpt,5
LDA,Tài chính - Ngân hàng,diem_thi_thpt,5
LDA,Bảo hiểm - Tài chính,diem_thi_thpt,5
LDA,Kế toán,diem_thi_thpt,5
LDA,Kiểm toán,diem_thi_thpt,5
LDA,Quản trị nhân lực,diem_thi_thpt,5
LDA,Hệ thống thông tin quản lý,diem_thi_thpt,5
LDA,Luật kinh tế,diem_thi_thpt,5
LDA,Công tác xã hội,diem_thi_thpt,5
MDA,Công nghệ thông tin (Chất lượng cao),diem_thi_thpt,6
MDA,Du lịch địa chất,diem_thi_thpt,6
MDA,Địa chất học,diem_thi_thpt,6
MDA,Kỹ thuật Cơ Điện tử,diem_thi_thpt,6
MDA,Kỹ thuật cơ khí động lực,diem_thi_thpt,6
MDA,Kỹ thuật Khí thiên nhiên,diem_thi_thpt,6
MDA,Kỹ thuật Ô tô,diem_thi_thpt,6
MDA,Kỹ thuật robot và trí tuệ nhân tạo,diem_thi_thpt,6
MDA,Kỹ thuật tài nguyên nước,diem_thi_thpt,6
MDA,Kỹ thuật vật liệu,diem_thi_thpt,6
MDA,Kỹ thuật xây dựng công trình giao thông,diem_thi_thpt,6
MDA,Khoa học Dữ liệu,diem_thi_thpt,6
MDA,"Ngành An toàn, vệ sinh lao động",diem_thi_thpt,6
MDA,"Ngành Công nghệ kỹ thuật điện, điện tử",diem_thi_thpt,6
MDA,Ngành Công nghệ kỹ thuật hóa học,diem_thi_thpt,6
MDA,Ngành công nghệ thông tin,diem_thi_thpt,6
MDA,"Ngành Đá quý, đá mỹ nghệ",diem_thi_thpt,6
MDA,Ngành địa chất học,diem_thi_thpt,6
MDA,Ngành Địa kỹ thuật xây dựng,diem_thi_thpt,6
MDA,Ngành Địa tin học,diem_thi_thpt,6
MDA,Ngành Hóa Dược,diem_thi_thpt,6
MDA,Ngành Kế toán,diem_thi_thpt,6
MDA,Ngành Kỹ thuật cơ khí,diem_thi_thpt,6
MDA,Ngành kỹ thuật Dầu khí,diem_thi_thpt,6
MDA,Ngành Kỹ thuật địa chất,diem_thi_thpt,6
MDA,Ngành Kỹ thuật Địa vật lý,diem_thi_thpt,6
MDA,Ngành kỹ thuật điện,diem_thi_thpt,6
MDA,Ngành Kỹ thuật điều khiển và tự động hóa,diem_thi_thpt,6
MDA,Ngành Kỹ thuật hóa học - Chương trình tiên tiến,diem_thi_thpt,6
MDA,Ngành Kỹ thuật không gian,diem_thi_thpt,6
MDA,Ngành Kỹ thuật mỏ,diem_thi_thpt,6
MDA,Ngành Kỹ thuật Trắc địa - Bản đồ,diem_thi_thpt,6
MDA,Ngành Kỹ thuật xây dựng,diem_thi_thpt,6
MDA,Ngành Ngôn ngữ Anh,diem_thi_thpt,6
MDA,Ngành Ngôn ngữ Trung,diem_thi_thpt,6
MDA,Ngành Quản lý đất đai,diem_thi_thpt,6
MDA,Ngành Quản lý đô thị và công trình,diem_thi_thpt,6
MDA,Ngành Quản lý phát triển đô thị và Bất động sản,diem_thi_thpt,6
MDA,Ngành Quản lý tài nguyên khoáng sản,diem_thi_thpt,6
MDA,Ngành Quản lý xây dựng,diem_thi_thpt,6
MDA,Ngành Quản trị kinh doanh,diem_thi_thpt,6
MDA,Ngành Tài chính - Ngân hàng,diem_thi_thpt,6
MDA,Quản lý công nghiệp,diem_thi_thpt,6
MDA,Quản lý tài nguyên và môi trường,diem_thi_thpt,6
MDA,Xây dựng công trình ngầm thành phố và hệ thống tàu điện ngầm,diem_thi_thpt,6
NLS,Sư phạm kỹ thuật nông nghiệp,diem_thi_thpt,6
NLS,Ngôn ngữ Anh,diem_thi_thpt,6
NLS,Kinh tế,diem_thi_thpt,6
NLS,Quản Trị Kinh Doanh,diem_thi_thpt,6
NLS,Bất động sản,diem_thi_thpt,6
NLS,Kế toán,diem_thi_thpt,6
NLS,Công nghệ sinh học,diem_thi_thpt,6
NLS,Khoa học môi trường,diem_thi_thpt,6
NLS,Hệ thống thông tin,diem_thi_thpt,6
NLS,Công nghệ thông tin,diem_thi_thpt,6
NLS,Cơ khí và Công nghệ,diem_thi_thpt,6
NLS,Công nghệ kỹ thuật cơ – điện tử,diem_thi_thpt,6
NLS,Công nghệ kỹ thuật ô tô,diem_thi_thpt,6
NLS,Công nghệ kỹ thuật nhiệt,diem_thi_thpt,6
NLS,Công nghệ kỹ thuật hoá học,diem_thi_thpt,6
NLS,Công nghệ kỹ thuật tái tạo,diem_thi_thpt,6
NLS,Kỹ thuật điều khiển và tự động hoá,diem_thi_thpt,6
NLS,Kỹ thuật môi trường,diem_thi_thpt,6
NLS,Công nghệ thực phẩm,diem_thi_thpt,6
NLS,Công nghệ chế biến thuỷ sản,diem_thi_thpt,6
NLS,Đảm bảo chất lượng an toàn thực phẩm,diem_thi_thpt,6
NLS,Chế biến lâm sản,diem_thi_thpt,6
NLS,Chăn nuôi,diem_thi_thpt,6
NLS,Nông học,diem_thi_thpt,6
NLS,Bảo vệ thực vật,diem_thi_thpt,6
NLS,Kinh doanh nông nghiệp,diem_thi_thpt,6
NLS,Phát triển nông nghiệp,diem_thi_thpt,6
NLS,Lâm học,diem_thi_thpt,6
NLS,Lâm nghiệp dô thị,diem_thi_thpt,6
NLS,Quản lý tài nguyên rừng,diem_thi_thpt,6
NLS,Nuôi trồng thuỷ sản,diem_thi_thpt,6
NLS,Thú y,diem_thi_thpt,6
NLS,Tài nguyên môi trường,diem_thi_thpt,6
NLS,Quản lý đất đai,diem_thi_thpt,6
NLS,Cảnh Quan và kỹ thuật hoa viên,diem_thi_thpt,6
NLS,Tài nguyên và Du lịch sinh thái,diem_thi_thpt,6
NTT,Y khoa,diem_thi_thpt,6
NTT,Quản trị kinh doanh (Kinh doanh quốc tế),diem_thi_thpt,6
NTT,Công nghệ thông tin,diem_thi_thpt,6
NTT,Công nghệ thông tin,diem_thi_thpt,6
NTT,Y khoa,diem_thi_thpt,6
NTT,Quản trị kinh doanh (Kinh doanh quốc tế),diem_thi_thpt,6
NTT,Công nghệ thông tin,diem_thi_thpt,6
NTT,Công nghệ thông tin,diem_thi_thpt,6
QHF,Ngôn ngữ Anh,diem_thi_thpt,6
QHF,Ngôn ngữ Pháp,diem_thi_thpt,6
QHF,Ngôn ngữ Trung Quốc,diem_thi_thpt,6
QHF,Ngôn ngữ Đức,diem_thi_thpt,6
QHF,Ngôn ngữ Nhật Bản,diem_thi_thpt,6
QHF,Ngôn ngữ Hàn Quốc,diem_thi_thpt,6
QHF,Ngôn ngữ Nga,diem_thi_thpt,6
QHF,Ngôn ngữ Ả Rập,diem_thi_thpt,6
QHF,Sư phạm,diem_thi_thpt,6
QHF,Tâm lý học giáo dục liên văn hoá,diem_thi_thpt,6
QHI,Công nghệ thông tin,diem_thi_thpt,6
QHI,Kỹ thuật máy tính,diem_thi_thpt,6
