code,name,prog,prog_url,dc,dc_url,tui_ngành,tui_SW(tr/năm),tui_url
DTB,Trường Đại học Thái Bình,18,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,4,giaoducthoidai.vn/dai-hoc-thai-binh-cong-bo-diem…,7,27.48-59.43,tbd.edu.vn/tuyen-sinh/hoc-phi/
DHD,Trường Đại học Hải Dương,31,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,31,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hai-…,5,,baodanang.vn/hoc-phi-truong-dai-hoc-hai-duong-na…
HLU,Trường Đại học Hạ Long,26,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,1,vietnamnet.vn/diem-chuan-truong-dai-hoc-ha-long-…,6,13.6-18.0,uhl.edu.vn/Timhieuvehocphi_5020.htm
DHV,Trường Đại học Hùng Vương,27,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,8,tdmu.edu.vn/tin-tuc/tin-dao-tao/truong-dai-hoc-t…,0,,dhv.edu.vn/
DHT,Trường Đại học Hà Tĩnh,19,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,3,laodong.vn/giao-duc/dai-hoc-ha-tinh-cong-bo-diem…,4,12.5-16.5,htu.edu.vn/images/ThongBao/2025/QD-muc-thu-hoc-p…
DTE,Trường Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng,1,laodong.vn/ldt/dao-tao/dai-hoc-su-pham-ky-thuat-…,24,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-p…,2,12-14,thongtintuyensinh247.com/hoc-phi-dai-hoc-su-pham…
HUTECH,Trường Đại học Công nghệ Thành phố Hồ Chí Minh,64,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,10,muctim.tuoitre.vn/diem-chuan-truong-dai-hoc-cong…,0,,
DNT,Trường Đại học Ngoại ngữ - Tin học Thành phố Hồ Chí Minh,23,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,6,muctim.tuoitre.vn/diem-chuan-truong-dai-hoc-ngoa…,2,,huflit.edu.vn/vi/tin-tuc/thong-bao-ve-viec-dong-…
DDK,Trường Đại học Bách khoa - Đại học Đà Nẵng,42,thi.tuyensinh247.com/thong-tin-tuyen-sinh-dai-ho…,39,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach…,3,27.7-38.0,vietjack.com/thong-tin-tuyen-sinh/hoc-phi-truong…
BVU,Trường Đại học Bà Rịa - Vũng Tàu,16,tuyensinh.bvu.edu.vn/cac-nganh-chuong-trinh/,6,giaoducthoidai.vn/truong-dai-hoc-ba-ria-vung-tau…,4,42.75-66.9,tuyensinh.bvu.edu.vn/hoc-bong/
VUP,Trường Đại học Sư phạm Kỹ thuật Vĩnh Long,36,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,79,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-p…,0,,htql.vlute.edu.vn/ung-dung
VCO,Trường Đại học Công nghệ và Quản lý Hữu Nghị,17,thi.tuyensinh247.com/dai-hoc-cong-nghe-va-quan-l…,34,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong…,2,25.15-27.375,giaoduc.net.vn/chi-tiet-diem-trung-tuyen-nam-202…
BVS,Học viện Công nghệ Bưu chính Viễn thông (Cơ sở phía Nam),18,tuyensinh.ptit.edu.vn/,11,diemthi.tuyensinh247.com/diem-chuan/hoc-vien-con…,4,29.6-62.5,tuoitre.vn/hoc-vien-cong-nghe-buu-chinh-vien-tho…
